year,month,Market,RiskfreeRate
1976,3,0.0272,0.0040
1976,4,-0.0107,0.0042
1976,5,-0.0097,0.0037
1976,6,0.0448,0.0043
1976,7,-0.0060,0.0047
1976,8,-0.0014,0.0042
1976,9,0.0251,0.0044
1976,10,-0.0201,0.0041
1976,11,0.0076,0.0040
1976,12,0.0605,0.0040
1977,1,-0.0369,0.0036
1977,2,-0.0159,0.0035
1977,3,-0.0099,0.0038
1977,4,0.0053,0.0038
1977,5,-0.0108,0.0037
1977,6,0.0511,0.0040
1977,7,-0.0127,0.0042
1977,8,-0.0131,0.0044
1977,9,0.0016,0.0043
1977,10,-0.0389,0.0049
1977,11,0.0450,0.0050
1977,12,0.0076,0.0049
1978,1,-0.0552,0.0049
1978,2,-0.0092,0.0046
1978,3,0.0338,0.0053
1978,4,0.0842,0.0054
1978,5,0.0227,0.0051
1978,6,-0.0115,0.0054
1978,7,0.0567,0.0056
1978,8,0.0431,0.0056
1978,9,-0.0081,0.0062
1978,10,-0.1123,0.0068
1978,11,0.0341,0.0070
1978,12,0.0166,0.0078
1979,1,0.0500,0.0077
1979,2,-0.0283,0.0073
1979,3,0.0649,0.0081
1979,4,0.0074,0.0080
1979,5,-0.0139,0.0082
1979,6,0.0466,0.0081
1979,7,0.0159,0.0077
1979,8,0.0630,0.0077
1979,9,0.0001,0.0083
1979,10,-0.0723,0.0087
1979,11,0.0620,0.0099
1979,12,0.0274,0.0095
1980,1,0.0631,0.0080
1980,2,-0.0033,0.0089
1980,3,-0.1169,0.0121
1980,4,0.0523,0.0126
1980,5,0.0607,0.0081
1980,6,0.0367,0.0061
1980,7,0.0702,0.0053
1980,8,0.0244,0.0064
1980,9,0.0294,0.0075
1980,10,0.0201,0.0095
1980,11,0.1055,0.0096
1980,12,-0.0321,0.0131
1981,1,-0.0400,0.0104
1981,2,0.0164,0.0107
1981,3,0.0477,0.0121
1981,4,-0.0103,0.0108
1981,5,0.0126,0.0115
1981,6,-0.0101,0.0135
1981,7,-0.0030,0.0124
1981,8,-0.0576,0.0128
1981,9,-0.0593,0.0124
1981,10,0.0613,0.0121
1981,11,0.0443,0.0107
1981,12,-0.0278,0.0087
1982,1,-0.0244,0.0080
1982,2,-0.0494,0.0092
1982,3,-0.0089,0.0098
1982,4,0.0440,0.0113
1982,5,-0.0293,0.0106
1982,6,-0.0213,0.0096
1982,7,-0.0214,0.0105
1982,8,0.1190,0.0076
1982,9,0.0180,0.0051
1982,10,0.1189,0.0059
1982,11,0.0530,0.0063
1982,12,0.0122,0.0067
1983,1,0.0429,0.0069
1983,2,0.0321,0.0062
1983,3,0.0345,0.0063
1983,4,0.0738,0.0071
